asset_id,title,category,filename,goal,dims,webp_kb
BM-BUN-001,Brioche Bun,ingredients/buns,BM-BUN-001-brioche-bun.webp,Identify a brioche bun,1440x2560,228
BM-BUN-002,Potato Bun,ingredients/buns,BM-BUN-002-potato-bun.webp,Identify a potato bun,1440x2560,150
BM-BUN-003,Sesame Bun,ingredients/buns,BM-BUN-003-sesame-bun.webp,Identify a sesame bun,1440x2560,273
BM-BUN-004,Pretzel Bun,ingredients/buns,BM-BUN-004-pretzel-bun.webp,Identify a pretzel bun,1440x2560,320
BM-BUN-005,Ciabatta,ingredients/buns,BM-BUN-005-ciabatta.webp,Identify ciabatta,1440x2560,295
BM-BUN-006,English Muffin,ingredients/buns,BM-BUN-006-english-muffin.webp,Identify an English muffin,1440x2560,259
BM-BUN-007,Lettuce Wrap,ingredients/buns,BM-BUN-007-lettuce-wrap.webp,Recognize the lettuce wrap alternative,1440x2560,244
BM-BUN-008,All Bun Comparison,ingredients/buns,BM-BUN-008-all-bun-comparison.webp,Compare all bun options at a glance,1440x2560,496
BM-CHEESE-011,American Cheese Slices,cheese,BM-CHEESE-011-american-slices.webp,Identify American cheese slices,1440x2560,172
BM-CHEESE-012,Sharp Cheddar Slices,cheese,BM-CHEESE-012-sharp-cheddar-slices.webp,Identify sharp cheddar slices,1440x2560,194
BM-CHEESE-013,Swiss Cheese,cheese,BM-CHEESE-013-swiss-cheese.webp,Identify Swiss cheese,1440x2560,189
BM-CHEESE-014,Provolone,cheese,BM-CHEESE-014-provolone.webp,Identify provolone,1440x2560,144
BM-CHEESE-015,Pepper Jack,cheese,BM-CHEESE-015-pepper-jack.webp,Identify Pepper Jack,1440x2560,172
BM-CHEESE-016,Blue Cheese,cheese,BM-CHEESE-016-blue-cheese.webp,Identify blue cheese,1440x2560,240
BM-CHEESE-017,Mozzarella,cheese,BM-CHEESE-017-mozzarella.webp,Identify fresh mozzarella,1440x2560,177
BM-CHEESE-018,Cheese Comparison Flat Lay,cheese,BM-CHEESE-018-cheese-comparison-flatlay.webp,Compare all burger cheeses at a glance,1440x2560,456
BM-COND-001,Mayonnaise,condiments,BM-COND-001-mayonnaise.webp,Identify mayonnaise,1440x2560,148
BM-COND-002,Burger Sauce,condiments,BM-COND-002-burger-sauce.webp,Identify classic burger sauce,1440x2560,209
BM-COND-003,Yellow Mustard,condiments,BM-COND-003-yellow-mustard.webp,Identify yellow mustard,1440x2560,167
BM-COND-004,Dijon Mustard,condiments,BM-COND-004-dijon-mustard.webp,Identify Dijon mustard,1440x2560,176
BM-COND-005,Ketchup,condiments,BM-COND-005-ketchup.webp,Identify ketchup,1440x2560,170
BM-COND-006,BBQ Sauce,condiments,BM-COND-006-bbq-sauce.webp,Identify BBQ sauce,1440x2560,184
BM-COND-007,Chipotle Mayo,condiments,BM-COND-007-chipotle-mayo.webp,Identify chipotle mayo,1440x2560,199
